speaker,trial,target_colour_textgrid,target_name_textgrid,colour_start,colour_end,colour_dur,item_start,item_end,item_dur,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
TS,48,roten,erdbeere,200.2278,200.6978,0.46999999999999886,200.6978,201.3678,0.6699999999999875,NF,typical,Erdbeere,rot,Bueroklammer,rot,Waescheklammer,orange,Socken,gruen,strawberry,red,99.35643564356435,2.7150843759111485,100
TS,49,orangen,trauben,203.4876,203.9676,0.4800000000000182,203.9676,204.3676,0.4000000000000057,NF,atypical,Trauben,orange,Waescheklammer,orange,Socken,gruen,Sonnenbrille,braun,grapes,orange,5.871287128712871,14.374048397258605,0
TS,51,orangen,mandarine,210.8856,211.2456,0.3599999999999852,211.2456,211.8856,0.6400000000000148,NF,typical,Mandarine,orange,Bueroklammer,orange,Aubergine,gelb,Avokado,gruen,mandarine,orange,98.70297029702972,4.731901424280615,100
TS,53,gelben,erbsen,219.6023,219.8723,0.2699999999999818,219.8723,220.3023,0.4300000000000068,NF,medium,Erbsen,gelb,Socken,gelb,Aubergine,gruen,Bueroklammer,gruen,peas,yellow,34.57425742574257,33.063377484659206,27
TS,55,gruenen,moehre,226.7968,227.0568,0.2600000000000193,227.0568,227.4568,0.39999999999997726,NF,atypical,Moehre,gruen,Bueroklammer,gruen,Waescheklammer,gelb,Aubergine,gelb,carrots,green,3.99009900990099,13.916533368267366,0
TS,59,braunen,walnuss,240.8244,241.1144,0.28999999999999204,241.1144,241.5844,0.46999999999999886,NF,typical,Walnuss,braun,Sonnenbrille,braun,Socken,rot,Bueroklammer,orange,walnut,brown,97.45544554455444,11.250355329922026,100
TS,61,braunen,paprika,247.6585,248.0285,0.37000000000000455,248.0285,248.6485,0.6200000000000045,NF,atypical,Paprika,braun,Waescheklammer,braun,Avokado,rot,Birne,rot,pepper,brown,7.772277227722772,16.440730633471745,0
TS,63,gruenen,tomate,254.8676,255.2976,0.4299999999999784,255.2976,255.8276,0.5300000000000011,NF,medium,Tomate,gruen,Socken,gruen,Birne,rot,Avokado,rot,tomato,green,25.99009900990099,28.510522636214493,18
TS,67,gruenen,bohnen,271.0856,271.3656,0.2799999999999727,271.3656,271.7156,0.35000000000002274,NF,typical,Bohnen,gruen,Sonnenbrille,gruen,Zucchini,rot,Waescheklammer,orange,beans,green,96.81188118811882,7.065002294815097,100
TS,69,braunen,banane,277.6084,277.9184,0.3100000000000023,277.9184,278.3984,0.47999999999996135,NF,medium,Banane,braun,Bueroklammer,braun,Sonnenbrille,rot,Zucchini,rot,banana,brown,27.643564356435643,28.333225781197537,22
VS,2,roten,aprikose,10.2066,10.5866,0.3800000000000008,10.5866,11.3066,0.7199999999999989,NF,medium,Aprikose,rot,Socken,rot,Sonnenbrille,gruen,Waescheklammer,gelb,apricot,red,33.148514851485146,32.654061351878994,25
VS,4,orangen,kartoffeln,21.0611,21.6711,0.6099999999999994,21.6711,22.2711,0.6000000000000014,NF,medium,Kartoffeln,orange,Socken,orange,Bueroklammer,gruen,Waescheklammer,gruen,potatoes,orange,38.851485148514854,33.05370966733201,31
VS,6,gelben,erbsen,32.7265,33.0565,0.3299999999999983,33.0565,33.5365,0.4799999999999969,NF,medium,Erbsen,gelb,Sonnenbrille,gelb,Socken,orange,Aubergine,gruen,peas,yellow,34.57425742574257,33.063377484659206,27
VS,8,braunen,banane,43.5516,43.9216,0.36999999999999744,43.9216,44.4216,0.5,NF,medium,Banane,braun,Waescheklammer,braun,Socken,gruen,Sonnenbrille,gruen,banana,brown,27.643564356435643,28.333225781197537,22
VS,11,gruenen,moehre,62.1732,62.4932,0.3200000000000003,62.4932,62.8632,0.36999999999999744,NF,atypical,Moehre,gruen,Bueroklammer,gruen,Zucchini,braun,Socken,rot,carrots,green,3.99009900990099,13.916533368267366,0
VS,12,roten,gurke,65.9312,66.3212,0.39000000000000057,66.3212,66.6812,0.35999999999999943,NF,atypical,Gurke,rot,Bueroklammer,rot,Socken,braun,Birne,gruen,cucumber,red,0.8316831683168316,3.4498385670367044,0
VS,14,roten,erdbeere,75.6856,76.0856,0.4000000000000057,76.0856,76.6256,0.5400000000000063,NF,typical,Erdbeere,rot,Waescheklammer,rot,Sonnenbrille,orange,Bueroklammer,gruen,strawberry,red,99.35643564356435,2.7150843759111485,100
VS,17,braunen,walnuss,92.8934,93.3434,0.45000000000000284,93.3434,93.8334,0.4899999999999949,NF,typical,Walnuss,braun,Sonnenbrille,braun,Socken,rot,Socken,gruen,walnut,brown,97.45544554455444,11.250355329922026,100
VS,20,orangen,mandarine,109.6127,110.1327,0.519999999999996,110.1327,110.8227,0.6899999999999977,NF,typical,Mandarine,orange,Waescheklammer,orange,Birne,gruen,Zucchini,rot,mandarine,orange,98.70297029702972,4.731901424280615,100
VS,25,gruenen,bohnen,141.8355,142.2355,0.4000000000000057,142.2355,142.5855,0.3499999999999943,NF,typical,Bohnen,gruen,Sonnenbrille,gruen,Zucchini,rot,Socken,braun,beans,green,96.81188118811882,7.065002294815097,100
VS,28,gelben,kirsche,159.0123,159.3823,0.3699999999999761,159.3823,159.8223,0.44000000000002615,NF,atypical,Kirsche,gelb,Waescheklammer,gelb,Avokado,rot,Socken,orange,cherry,yellow,1.386138613861386,3.9848972308698327,0
VS,30,orangen,trauben,168.837,169.447,0.6100000000000136,169.447,169.917,0.46999999999999886,NF,atypical,Trauben,orange,Bueroklammer,orange,Aubergine,gruen,Avokado,rot,grapes,orange,5.871287128712871,14.374048397258605,0
VS,31,gruenen,tomate,173.1483,173.5083,0.3599999999999852,173.5083,174.0983,0.5900000000000034,NF,medium,Tomate,gruen,Socken,gruen,Waescheklammer,gelb,Waescheklammer,braun,tomato,green,25.99009900990099,28.510522636214493,18
VS,33,gelben,zitrone,184.5389,184.9289,0.38999999999998636,184.9289,185.4989,0.5699999999999932,NF,typical,Zitrone,gelb,Socken,gelb,Waescheklammer,braun,Sonnenbrille,orange,lemon,yellow,99.6039603960396,2.3794083631053837,100
VS,35,braunen,paprika,195.5418,195.9218,0.37999999999999545,195.9218,196.5118,0.5900000000000034,NF,atypical,Paprika,braun,Bueroklammer,braun,Waescheklammer,gruen,Aubergine,rot,pepper,brown,7.772277227722772,16.440730633471745,0
VS,37,roten,aprikose,205.1847,205.5347,0.3499999999999943,205.5347,206.3247,0.7900000000000205,NF,medium,Aprikose,rot,Socken,rot,Sonnenbrille,gruen,Waescheklammer,gelb,apricot,red,33.148514851485146,32.654061351878994,25
VS,39,orangen,kartoffeln,217.9636,218.5336,0.5699999999999932,218.5336,219.1636,0.6299999999999955,NF,medium,Kartoffeln,orange,Socken,orange,Bueroklammer,gruen,Waescheklammer,gruen,potatoes,orange,38.851485148514854,33.05370966733201,31
VS,41,gelben,erbsen,228.1467,228.4667,0.3199999999999932,228.4667,228.9067,0.4399999999999977,NF,medium,Erbsen,gelb,Sonnenbrille,gelb,Socken,orange,Aubergine,gruen,peas,yellow,34.57425742574257,33.063377484659206,27
VS,43,braunen,banane,238.5117,238.9017,0.3900000000000148,238.9017,239.4317,0.5300000000000011,NF,medium,Banane,braun,Waescheklammer,braun,Socken,gruen,Sonnenbrille,gruen,banana,brown,27.643564356435643,28.333225781197537,22
VS,46,gruenen,moehre,254.8913,255.2513,0.3599999999999852,255.2513,255.6213,0.37000000000000455,NF,atypical,Moehre,gruen,Bueroklammer,gruen,Zucchini,braun,Socken,rot,carrots,green,3.99009900990099,13.916533368267366,0
VS,47,roten,gurke,258.43,258.82,0.38999999999998636,258.82,259.17,0.35000000000002274,NF,atypical,Gurke,rot,Bueroklammer,rot,Socken,braun,Birne,gruen,cucumber,red,0.8316831683168316,3.4498385670367044,0
VS,49,roten,erdbeere,268.3819,268.7819,0.4000000000000341,268.7819,269.3719,0.589999999999975,NF,typical,Erdbeere,rot,Waescheklammer,rot,Sonnenbrille,orange,Bueroklammer,gruen,strawberry,red,99.35643564356435,2.7150843759111485,100
VS,52,braunen,walnuss,283.1819,283.5619,0.37999999999999545,283.5619,284.0619,0.5,NF,typical,Walnuss,braun,Sonnenbrille,braun,Socken,rot,Socken,gruen,walnut,brown,97.45544554455444,11.250355329922026,100
VS,55,orangen,mandarine,297.8096,298.3696,0.5600000000000023,298.3696,299.0296,0.660000000000025,NF,typical,Mandarine,orange,Waescheklammer,orange,Birne,gruen,Zucchini,rot,mandarine,orange,98.70297029702972,4.731901424280615,100
VS,60,gruenen,bohnen,326.0812,326.4312,0.3499999999999659,326.4312,326.8312,0.4000000000000341,NF,typical,Bohnen,gruen,Sonnenbrille,gruen,Zucchini,rot,Socken,braun,beans,green,96.81188118811882,7.065002294815097,100
VS,63,gelben,kirsche,340.2892,340.6592,0.37000000000000455,340.6592,341.1192,0.45999999999997954,NF,atypical,Kirsche,gelb,Waescheklammer,gelb,Avokado,rot,Socken,orange,cherry,yellow,1.386138613861386,3.9848972308698327,0
VS,66,gruenen,tomate,353.8192,354.1392,0.3199999999999932,354.1392,354.7492,0.6099999999999568,NF,medium,Tomate,gruen,Socken,gruen,Waescheklammer,gelb,Waescheklammer,braun,tomato,green,25.99009900990099,28.510522636214493,18
VS,68,gelben,zitrone,363.2087,363.5887,0.37999999999999545,363.5887,364.2087,0.6200000000000045,NF,typical,Zitrone,gelb,Socken,gelb,Waescheklammer,braun,Sonnenbrille,orange,lemon,yellow,99.6039603960396,2.3794083631053837,100
VS,70,braunen,paprika,371.9268,372.3068,0.37999999999999545,372.3068,372.9868,0.6800000000000068,NF,atypical,Paprika,braun,Bueroklammer,braun,Waescheklammer,gruen,Aubergine,rot,pepper,brown,7.772277227722772,16.440730633471745,0
